id,gene_symbol,logFC,AveExpr,t,P_Value,adj_P_Val,B
172,NFKBIB,1.092143985,4.399287065,11.54262891,3.12e-10,7.659999999999999e-09,13.49284692
1,PID1,1.524827335,6.1312705,5.8880338729999995,1.5e-06,0.011598191,5.23653992
2,GSDMA,3.400986534,2.028785151,5.33362325,7.52e-06,0.021915639,3.555217232
7,HMGA2,1.417204939,-0.512179493,4.9299274230000005,2.4299999999999998e-05,0.022780992000000003,1.861236027
8,GRB10,1.129332873,3.3539231689999998,4.904739866,2.62e-05,0.022780992000000003,2.55718535
12,CLIP2,1.095325649,5.469628257,4.760678068,3.98e-05,0.022780992000000003,2.137434299
13,MYO10,1.098028463,5.467517153999999,4.739261197,4.23e-05,0.022780992000000003,2.078927962
14,MMP2,1.041279928,4.518857632,4.715793091,4.5299999999999997e-05,0.022780992000000003,2.029677898
22,LDLRAD3,1.289451476,2.98311673,4.586970198,6.57e-05,0.022780992000000003,1.711433735
23,ST6GALNAC3,1.425346131,-0.852494522,4.575870753,6.78e-05,0.022780992000000003,0.9918178959999999
25,VNN3,1.2500243770000001,0.137351643,4.524843572,7.85e-05,0.022780992000000003,1.177882204
27,KITLG,1.43791605,3.846574191,4.492561223,8.62e-05,0.022780992000000003,1.447992385
29,BNC2,1.993996169,0.838457448,4.4842678639999995,8.83e-05,0.022780992000000003,1.239338717
32,CXCL2,1.144525904,6.505961837,4.463795216,9.36e-05,0.022780992000000003,1.336610633
33,FJX1,1.312015705,2.71269596,4.4544618,9.609999999999999e-05,0.022780992000000003,1.361849905
37,ICOSLG,1.062025126,5.75914899,4.406172335,0.000110432,0.024187637999999997,1.173713112
39,PTGER2,1.020364036,6.378952826,4.375223213,0.00012066899999999999,0.02483189,1.095913796
49,CELF5,1.683028028,-0.772198883,4.28582229,0.000155789,0.027705406000000002,0.412087975
51,CYP7B1,1.7111152669999998,1.115920793,4.269975489,0.000162989,0.027886708,0.775446449
54,PPP4R4,1.727828561,-1.083201944,4.219085008,0.000188397,0.028566968999999998,0.18615776899999997
55,GLIS3,1.0180981340000002,4.077366252,4.207382798,0.00019477,0.029225583,0.6809122679999999
62,JDP2,1.168232918,5.787316916,4.139577334,0.000236084,0.031290034,0.45969158299999996
